country,date,source,generation_gwh
United Kingdom,2020-02-01T00:00:00Z,Hydro,656.4194166666666
United Kingdom,2020-02-01T00:00:00Z,Nuclear,3942.264083333333
United Kingdom,2020-02-01T00:00:00Z,Solar,460.11141042891666
United Kingdom,2020-02-01T00:00:00Z,Wind,6893.957166666666
United Kingdom,2020-03-01T00:00:00Z,Biomass,1593.6838333333333
United Kingdom,2020-03-01T00:00:00Z,Gas,8436.4565
United Kingdom,2020-03-01T00:00:00Z,Hydro,629.2219166666666
United Kingdom,2020-03-01T00:00:00Z,Nuclear,3392.1780833333332
United Kingdom,2020-03-01T00:00:00Z,Solar,1019.8103889544999
United Kingdom,2020-03-01T00:00:00Z,Wind,5606.108666666666
United Kingdom,2020-04-01T00:00:00Z,Biomass,1454.65075
United Kingdom,2020-04-01T00:00:00Z,Gas,6113.947916666666
United Kingdom,2020-04-01T00:00:00Z,Hydro,363.8140833333333
United Kingdom,2020-04-01T00:00:00Z,Nuclear,3782.8759999999997
United Kingdom,2020-04-01T00:00:00Z,Solar,1484.9925946183332
United Kingdom,2020-04-01T00:00:00Z,Wind,3407.50675
United Kingdom,2020-05-01T00:00:00Z,Biomass,1623.31475
United Kingdom,2020-05-01T00:00:00Z,Gas,5501.2515
United Kingdom,2020-05-01T00:00:00Z,Hydro,307.32616666666667
United Kingdom,2020-05-01T00:00:00Z,Nuclear,4119.729833333333
United Kingdom,2020-05-01T00:00:00Z,Solar,1843.0157387315833
United Kingdom,2020-05-01T00:00:00Z,Wind,3106.703583333333
United Kingdom,2020-06-01T00:00:00Z,Biomass,1573.7119166666666
United Kingdom,2020-06-01T00:00:00Z,Gas,7249.5723333333335
United Kingdom,2020-06-01T00:00:00Z,Hydro,296.52208333333334
United Kingdom,2020-06-01T00:00:00Z,Nuclear,3326.0488333333333
United Kingdom,2020-06-01T00:00:00Z,Solar,1399.6799168073333
United Kingdom,2020-06-01T00:00:00Z,Wind,3298.5764166666663
United Kingdom,2020-07-01T00:00:00Z,Biomass,1673.3461666666665
United Kingdom,2020-07-01T00:00:00Z,Gas,8277.064666666667
United Kingdom,2020-07-01T00:00:00Z,Hydro,370.91541666666666
United Kingdom,2020-07-01T00:00:00Z,Nuclear,3866.289583333333
United Kingdom,2020-07-01T00:00:00Z,Solar,1370.2461054040832
United Kingdom,2020-07-01T00:00:00Z,Wind,3292.442
United Kingdom,2020-08-01T00:00:00Z,Biomass,1206.9168333333332
United Kingdom,2020-08-01T00:00:00Z,Gas,8990.48275
