country,date,source,generation_gwh
United States,2020-09-01,Hydro,286007.4
United States,2020-09-01,Nuclear,989982.298
United States,2020-09-01,Oil,10857.819
United States,2020-09-01,Other,90591.39
United States,2020-09-01,Solar,99587.968
United States,2020-09-01,Wind,346068.525
United States,2020-10-01,Coal,895489.122
United States,2020-10-01,Gas,1812103.677
United States,2020-10-01,Hydro,283878.699
United States,2020-10-01,Nuclear,894683.987
United States,2020-10-01,Oil,9296.694
United States,2020-10-01,Other,92186.511
United States,2020-10-01,Solar,92987.34
United States,2020-10-01,Wind,433425.771
United States,2020-11-01,Coal,911919.111
United States,2020-11-01,Gas,1478999.286
United States,2020-11-01,Hydro,324886.131
United States,2020-11-01,Nuclear,929741.301
United States,2020-11-01,Oil,9671.892
United States,2020-11-01,Other,94589.622
United States,2020-11-01,Solar,76865.745
United States,2020-11-01,Wind,500647.032
United States,2020-12-01,Coal,1174495.329
United States,2020-12-01,Gas,1738968.249
United States,2020-12-01,Hydro,346867.467
United States,2020-12-01,Nuclear,1052368.434
United States,2020-12-01,Oil,10539.185
United States,2020-12-01,Other,93037.734
United States,2020-12-01,Solar,70733.28
United States,2020-12-01,Wind,485488.54
United States,2021-01-01,Coal,1222402.947
United States,2021-01-01,Gas,1716919.902
United States,2021-01-01,Hydro,371939.838
United States,2021-01-01,Nuclear,1080969.345
United States,2021-01-01,Oil,11883.961
United States,2021-01-01,Other,88428.951
United States,2021-01-01,Solar,75612.978
United States,2021-01-01,Wind,460068.024
United States,2021-02-01,Coal,1310064.147
United States,2021-02-01,Gas,1546528.011
United States,2021-02-01,Hydro,322967.628
United States,2021-02-01,Nuclear,948547.731
United States,2021-02-01,Oil,14757.628
United States,2021-02-01,Other,76250.529
United States,2021-02-01,Solar,84843.561
United States,2021-02-01,Wind,403933.775
United States,2021-03-01,Coal,929498.688
United States,2021-03-01,Gas,1444540.48
United States,2021-03-01,Hydro,327556.467
United States,2021-03-01,Nuclear,959434.584
United States,2021-03-01,Oil,10324.785
United States,2021-03-01,Other,80625.342
United States,2021-03-01,Solar,119650.875
United States,2021-03-01,Wind,598925.028
United States,2021-04-01,Coal,820680.114
United States,2021-04-01,Gas,1465422.129
United States,2021-04-01,Hydro,308166.573
United States,2021-04-01,Nuclear,858863.091
United States,2021-04-01,Oil,5812.773
United States,2021-04-01,Other,76868.259
United States,2021-04-01,Solar,142014.9
United States,2021-04-01,Wind,547333.827
United States,2021-05-01,Coal,964399.644
United States,2021-05-01,Gas,1579683.429
United States,2021-05-01,Hydro,342729.429
United States,2021-05-01,Nuclear,954881.865
United States,2021-05-01,Oil,8544.852
United States,2021-05-01,Other,82246.659
United States,2021-05-01,Solar,160380.648
United States,2021-05-01,Wind,513454.551
United States,2021-06-01,Coal,1311334.119
United States,2021-06-01,Gas,2074458.822
United States,2021-06-01,Hydro,351976.596
United States,2021-06-01,Nuclear,995509.074
United States,2021-06-01,Oil,10680.981
United States,2021-06-01,Other,86892.699
United States,2021-06-01,Solar,156597.156
United States,2021-06-01,Wind,403294.485
United States,2021-07-01,Coal,1530124.077
United States,2021-07-01,Gas,2353885.545
United States,2021-07-01,Hydro,334392.435
United States,2021-07-01,Nuclear,1036889.175
United States,2021-07-01,Oil,11185.236
United States,2021-07-01,Other,102061.294
United States,2021-07-01,Solar,157428.177
United States,2021-07-01,Wind,326507.13
United States,2021-08-01,Coal,1535370.486
United States,2021-08-01,Gas,2387089.479
United States,2021-08-01,Hydro,318565.113
United States,2021-08-01,Nuclear,1049721.921
United States,2021-08-01,Oil,15270.172
United States,2021-08-01,Other,108378.96
United States,2021-08-01,Solar,153527.49
United States,2021-08-01,Wind,400119.603
United States,2021-09-01,Coal,1186315.713
United States,2021-09-01,Gas,1894812.51
United States,2021-09-01,Hydro,278938.623
United States,2021-09-01,Nuclear,973549.917
United States,2021-09-01,Oil,6133.383
United States,2021-09-01,Other,95158.968
United States,2021-09-01,Solar,144056.304
United States,2021-09-01,Wind,433846.839
United States,2021-10-01,Coal,941570.385
United States,2021-10-01,Gas,1801697.472
United States,2021-10-01,Hydro,268920.9
United States,2021-10-01,Nuclear,860125.368
United States,2021-10-01,Oil,9782.805
United States,2021-10-01,Other,122174.253
United States,2021-10-01,Solar,122986.182
United States,2021-10-01,Wind,482120.367
United States,2021-11-01,Coal,871930.692
United States,2021-11-01,Gas,1657961.031
United States,2021-11-01,Hydro,289112.934
United States,2021-11-01,Nuclear,945563.514
United States,2021-11-01,Oil,11285.346
United States,2021-11-01,Other,89206.163
United States,2021-11-01,Solar,104147.205
United States,2021-11-01,Wind,543198.762
United States,2021-12-01,Coal,909077.544
United States,2021-12-01,Gas,1725700.034
United States,2021-12-01,Hydro,344176.671
United States,2021-12-01,Nuclear,1065342.876
United States,2021-12-01,Oil,11666.823
United States,2021-12-01,Other,89826.576
United States,2021-12-01,Solar,81406.185
United States,2021-12-01,Wind,610319.607
United States,2022-01-01,Coal,1317309.837
United States,2022-01-01,Gas,1848585.875
United States,2022-01-01,Hydro,379831.686
United States,2022-01-01,Nuclear,1058524.103
United States,2022-01-01,Oil,29212.973
United States,2022-01-01,Other,93959.472
United States,2022-01-01,Solar,105259.752
United States,2022-01-01,Wind,570074.562
United States,2022-02-01,Coal,1073996.529
United States,2022-02-01,Gas,1525527.746
United States,2022-02-01,Hydro,324756.879
United States,2022-02-01,Nuclear,914947.03
United States,2022-02-01,Oil,13316.274
United States,2022-02-01,Other,80503.474
United States,2022-02-01,Solar,119559.89
United States,2022-02-01,Wind,569459.694
United States,2022-03-01,Coal,917023.734
United States,2022-03-01,Gas,1529475.334
United States,2022-03-01,Hydro,379694.745
United States,2022-03-01,Nuclear,950280.729
United States,2022-03-01,Oil,10936.76
United States,2022-03-01,Other,78815.709
United States,2022-03-01,Solar,156464.52
United States,2022-03-01,Wind,652020.856
United States,2022-04-01,Coal,837306.183
United States,2022-04-01,Gas,1436895.484
United States,2022-04-01,Hydro,313240.686
United States,2022-04-01,Nuclear,833859.609
United States,2022-04-01,Oil,10616.705
United States,2022-04-01,Other,78067.734
United States,2022-04-01,Solar,175880.604
United States,2022-04-01,Wind,693567.486
United States,2022-05-01,Coal,956383.047
United States,2022-05-01,Gas,1759574.421
United States,2022-05-01,Hydro,356105.487
United States,2022-05-01,Nuclear,954485.46
United States,2022-05-01,Oil,5763.838
